Rank,Title,Rating
234,The Sound of Music,8.1
235,Babam ve Oglum,8.2
236,Ah-ga-ssi,8.1
237,To Be or Not to Be,8.1
238,Into the Wild,8.1
239,La battaglia di Algeri,8.1
240,The Grapes of Wrath,8.1
241,Groundhog Day,8.0
242,The Iron Giant,8.1
243,Amores perros,8.0
244,Rebecca,8.1
245,The Help,8.1
246,Cool Hand Luke,8.1
247,It Happened One Night,8.1
248,"Paris, Texas",8.1
249,Scent of a Woman,8.0
250,Drishyam,8.2
